"No.","Time","Source","Destination","Protocol","Length","Info"
"164","9.733743688","192.168.209.97","192.168.209.220","DNS","89","Standard query 0xda99 AAAA connectivity-check.ubuntu.com"
"165","9.736719941","192.168.209.220","192.168.209.97","DNS","89","Standard query response 0xda99 AAAA connectivity-check.ubuntu.com"
"171","10.822441707","192.168.209.97","224.0.0.251","MDNS","200","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _nmea-0183._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"172","10.845360211","192.168.209.97","163.172.208.7","UDP","114","57238  >  33486 Len=72"
"173","10.845396639","192.168.209.97","163.172.208.7","UDP","114","56775  >  33487 Len=72"
"174","10.845414243","192.168.209.97","163.172.208.7","UDP","114","43973  >  33488 Len=72"
"175","10.845426879","192.168.209.97","163.172.208.7","UDP","114","59292  >  33489 Len=72"
"176","10.845439228","192.168.209.97","163.172.208.7","UDP","114","43560  >  33490 Len=72"
"177","10.845452159","192.168.209.97","163.172.208.7","UDP","114","59769  >  33491 Len=72"
"178","10.845464972","192.168.209.97","163.172.208.7","UDP","114","56987  >  33492 Len=72"
"179","10.895783783","192.168.209.97","163.172.208.7","UDP","114","53997  >  33493 Len=72"
"180","10.895819371","192.168.209.97","163.172.208.7","UDP","114","40178  >  33494 Len=72"
"181","10.901191652","192.168.209.97","163.172.208.7","UDP","114","48219  >  33495 Len=72"
"182","10.906355923","192.168.209.97","163.172.208.7","UDP","114","43215  >  33496 Len=72"
"183","10.996998261","103.198.140.176","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"184","10.997272011","192.168.209.97","163.172.208.7","UDP","114","32846  >  33497 Len=72"
"185","10.997303702","192.168.209.97","163.172.208.7","UDP","114","54264  >  33498 Len=72"
"186","10.997317343","192.168.209.97","163.172.208.7","UDP","114","44611  >  33499 Len=72"
"187","10.997329758","192.168.209.97","163.172.208.7","UDP","114","46070  >  33500 Len=72"
"188","10.997342601","192.168.209.97","163.172.208.7","UDP","114","43490  >  33501 Len=72"
"189","10.997355029","192.168.209.97","163.172.208.7","UDP","114","56190  >  33502 Len=72"
"190","11.007666159","103.198.140.176","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"191","11.007891643","192.168.209.97","163.172.208.7","UDP","114","52857  >  33503 Len=72"
"192","11.079466112","103.198.140.174","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"193","11.079665401","192.168.209.97","163.172.208.7","UDP","114","33017  >  33504 Len=72"
"194","11.099348299","103.198.140.176","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"195","11.099573076","192.168.209.97","163.172.208.7","UDP","114","60058  >  33505 Len=72"
"196","11.236707190","103.198.140.107","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"197","11.236708650","103.198.140.215","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"198","11.236708710","103.198.140.215","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"199","11.236885945","192.168.209.97","163.172.208.7","UDP","114","40760  >  33506 Len=72"
"200","11.236897776","192.168.209.97","163.172.208.7","UDP","114","55406  >  33507 Len=72"
"201","11.236913795","192.168.209.97","163.172.208.7","UDP","114","54138  >  33508 Len=72"
"202","11.283393843","103.198.140.107","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"203","11.283617737","192.168.209.97","163.172.208.7","UDP","114","43521  >  33509 Len=72"
"204","11.543060177","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"205","11.543301064","192.168.209.97","163.172.208.7","UDP","114","56140  >  33510 Len=72"
"206","11.814880479","192.168.209.97","163.172.208.7","UDP","114","49637  >  33511 Len=72"
"207","11.814913844","192.168.209.97","163.172.208.7","UDP","114","45296  >  33512 Len=72"
"208","11.814926197","192.168.209.97","163.172.208.7","UDP","114","32913  >  33513 Len=72"
"209","11.814937584","192.168.209.97","163.172.208.7","UDP","114","52539  >  33514 Len=72"
"210","11.814948231","192.168.209.97","163.172.208.7","UDP","114","47970  >  33515 Len=72"
"211","11.814959174","192.168.209.97","163.172.208.7","UDP","114","56940  >  33516 Len=72"
"212","11.814970144","192.168.209.97","163.172.208.7","UDP","114","34050  >  33517 Len=72"
"213","11.865667332","192.168.209.97","192.168.209.220","DNS","88","Standard query 0x1898 PTR 176.140.198.103.in-addr.arpa"
"214","11.869320091","62.210.0.135","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"215","11.924715852","192.168.209.220","192.168.209.97","DNS","176","Standard query response 0x1898 No such name PTR 176.140.198.103.in-addr.arpa SOA ns.apnic.net"
"216","11.925702658","192.168.209.97","192.168.209.220","DNS","88","Standard query 0x1d2c PTR 174.140.198.103.in-addr.arpa"
"217","11.999392819","192.168.209.220","192.168.209.97","DNS","176","Standard query response 0x1d2c No such name PTR 174.140.198.103.in-addr.arpa SOA ns.apnic.net"
"218","12.000374441","192.168.209.97","192.168.209.220","DNS","88","Standard query 0x07f5 PTR 176.140.198.103.in-addr.arpa"
"219","12.002623522","192.168.209.220","192.168.209.97","DNS","88","Standard query response 0x07f5 No such name PTR 176.140.198.103.in-addr.arpa"
"220","12.003514440","192.168.209.97","192.168.209.220","DNS","88","Standard query 0x0d40 PTR 215.140.198.103.in-addr.arpa"
"221","12.045159402","62.210.0.135","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"222","12.049568237","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
